Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ASRNL","ASR NEDERLAND NV","Financials","Aktien","1.098.846,26","0,11","1.098.846,26","22.701,00","48,41","Niederlande","Euronext Amsterdam","EUR"
"ELISA","ELISA","Kommunikation","Aktien","1.087.253,89","0,11","1.087.253,89","20.533,00","52,95","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"G1A","GEA GROUP AG","Industrie","Aktien","1.054.391,18","0,10","1.054.391,18","22.098,00","47,71","Deutschland","Xetra","EUR"
"T","TELUS CORP","Kommunikation","Aktien","1.040.612,87","0,10","1.040.612,87","62.096,00","16,76","Kanada","Toronto Stock Exchange","CAD"
"MAERSK B","A P MOLLER MAERSK B","Industrie","Aktien","1.031.416,02","0,10","1.031.416,02","644,00","1.601,58","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"KEY","KEYERA CORP","Energie","Aktien","1.002.192,10","0,10","1.002.192,10","33.127,00","30,25","Kanada","Toronto Stock Exchange","CAD"
"DCC","DCC PLC","Industrie","Aktien","997.261,30","0,10","997.261,30","14.581,00","68,39","Vereinigtes Königreich","London Stock Exchange","GBP"
"ELE","ENDESA SA","Versorger","Aktien","991.670,15","0,10","991.670,15","45.921,00","21,60","Spanien","Bolsa De Madrid","EUR"
"AKRBP","AKER BP","Energie","Aktien","981.333,38","0,10","981.333,38","45.296,00","21,66","Norwegen","Oslo Bors Asa","NOK"
"EN","BOUYGUES SA","Industrie","Aktien","958.133,77","0,10","958.133,77","26.862,00","35,67","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ORK","ORKLA","Nichtzyklische Konsumgüter","Aktien","955.415,89","0,09","955.415,89","103.065,00","9,27","Norwegen","Oslo Bors Asa","NOK"
"SKF B","SKF B","Industrie","Aktien","932.624,87","0,09","932.624,87","49.103,00","18,99","Schweden","Nasdaq Omx Nordic","SEK"
"BDEV","BARRATT DEVELOPMENTS","Zyklische Konsumgüter ","Aktien","931.174,28","0,09","931.174,28","140.316,00","6,64","Vereinigtes Königreich","London Stock Exchange","GBP"
"TEL2 B","TELE2 B","Kommunikation","Aktien","901.516,69","0,09","901.516,69","78.134,00","11,54","Schweden","Nasdaq Omx Nordic","SEK"
"OMV","OMV AG","Energie","Aktien","886.894,26","0,09","886.894,26","21.523,00","41,21","Österreich","Wiener Boerse Ag","EUR"
"METSO","METSO CORPORATION","Industrie","Aktien","862.845,17","0,09","862.845,17","89.893,00","9,60","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"6841","YOKOGAWA ELECTRIC CORP","IT","Aktien","855.584,17","0,08","855.584,17","33.300,00","25,69","Japan","Tokyo Stock Exchange","JPY"
"ORNBV","ORION CLASS B","Gesundheitsversorgung","Aktien","845.390,03","0,08","845.390,03","16.077,00","52,58","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"EVK","EVONIK INDUSTRIES AG","Materialien","Aktien","841.189,08","0,08","841.189,08","37.096,00","22,68","Deutschland","Xetra","EUR"
"4204","SEKISUI CHEMICAL LTD","Zyklische Konsumgüter ","Aktien","827.813,20","0,08","827.813,20","54.200,00","15,27","Japan","Tokyo Stock Exchange","JPY"
